group,id,course,semester,grade
1,3,Art and Expression in a Post-Apocalyptic World,1,6.9
1,3,Art and Expression in a Post-Apocalyptic World,1,11.1
1,3,Art and Expression in a Post-Apocalyptic World,1,7
1,3,Art and Expression in a Post-Apocalyptic World,1,9.6
1,3,Art and Expression in a Post-Apocalyptic World,1,8.4
1,3,Art and Expression in a Post-Apocalyptic World,1,5.1
1,3,Art and Expression in a Post-Apocalyptic World,1,11
1,3,Art and Expression in a Post-Apocalyptic World,1,8.3
1,3,Art and Expression in a Post-Apocalyptic World,1,8.6
1,3,Combat Tactics and Self-Defense,2,7
1,3,Combat Tactics and Self-Defense,2,13
1,3,Combat Tactics and Self-Defense,2,16
1,3,Combat Tactics and Self-Defense,2,10
1,3,Combat Tactics and Self-Defense,2,18
1,3,Combat Tactics and Self-Defense,2,13
1,3,Combat Tactics and Self-Defense,2,13
1,3,Community Building and Social Organization,1,10
1,3,Community Building and Social Organization,1,10
1,3,Community Building and Social Organization,1,10
1,3,Community Building and Social Organization,1,9
1,3,Mechanical Engineering and Vehicle Repair,1,9
1,3,Mechanical Engineering and Vehicle Repair,1,9
1,3,Mechanical Engineering and Vehicle Repair,1,9
1,3,Mechanical Engineering and Vehicle Repair,1,10
1,3,Mechanical Engineering and Vehicle Repair,1,9
1,3,Moral Philosophy and Ethical Decision-Making,2,6
1,3,Moral Philosophy and Ethical Decision-Making,2,7
1,3,Moral Philosophy and Ethical Decision-Making,2,8
1,3,Moral Philosophy and Ethical Decision-Making,2,10
1,3,Moral Philosophy and Ethical Decision-Making,2,8
1,3,Moral Philosophy and Ethical Decision-Making,2,11
1,3,Post-Apocalyptic History and Archaeology,1,11
1,3,Post-Apocalyptic History and Archaeology,1,12
1,3,Post-Apocalyptic History and Archaeology,1,7.5
1,3,Radiation Ecology and Environmental Science,2,15.5
1,3,Radiation Ecology and Environmental Science,2,13.5
1,3,Radiation Ecology and Environmental Science,2,14
1,3,Radiation Ecology and Environmental Science,2,18.5
1,3,Radiation Ecology and Environmental Science,2,15.5
1,3,Radiation Ecology and Environmental Science,2,14
1,3,Renewable Energy and Sustainable Living,2,9.5
1,3,Renewable Energy and Sustainable Living,2,18.8
1,3,Renewable Energy and Sustainable Living,2,13.9
1,3,Renewable Energy and Sustainable Living,2,15.9
1,3,Renewable Energy and Sustainable Living,2,14.7
1,3,Renewable Energy and Sustainable Living,2,14.4
1,3,Renewable Energy and Sustainable Living,2,14.5
